step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.00010472843654582576,0.2855355377049476,0.15146477284246884,9.999999999999967e-05,1.0,0.15136477284246885,4.4703288805901634e-05,1.0,0.1427230655636679,0.00010003697103100139,4.471981607266473e-05,3,0.024477468306808164,5000,1.0,0.1,0.0,0.5036143387731684,0.0,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.3047951630509186,0.2511848733131049,0.6455270474787863,1.343201414726997,0.20094789865048457,0.2,0.06769238429491488,0.0007250094363744875,0.2,0.06382769531150415,0.18621624624536473,0.0007393784432976344,4,0.017308183826022852,10000,1.0,0.1,0.0,0.4394167414690354,0.0,0.6954757571220398,0.002653408097103238,2.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.005080415947913416,0.001132668002097749,0.2872027368281696,0.15236477284246885,0.0010000000000000007,1.0,0.15136477284246885,0.000878302850416902,1.0,0.1427230655636679,0.0010013747549138122,0.000879510301576328,4,0.014132072916016227,15000,1.0,0.1,0.0,0.4499654466026432,0.0,0.6931471824645996,0.003783423686400056,2.0,1.0,1.0
800,deploy,0.2775334489488009,0.2775334489488009,0.32,0.2802689715419422,0.21666666666666667,0.016178476669043262,0.5000346079311951,0.2074246433129016,0.11220507935685727,0.0013328878825669085,1.0,0.11087219147429035,0.002791874164649018,1.0,0.10092044749180179,0.001235740391493334,0.002731320947973282,4,0.012238734153404082,20000,1.0,0.1,0.0,0.377230820549326,0.0,0.692987859249115,0.004787689074873924,2.0,1.0,1.0
1000,deploy,0.24445486632406654,0.24445486632406654,0.278,0.2443794716055982,0.196,0.017922296564256663,0.5001679162815474,0.2898769077733812,0.15779695687296805,0.0010000000000000007,1.0,0.15679695687296805,0.0022153883230227062,1.0,0.1427230655636679,0.0010036704617748865,0.0022235198211788903,4,0.010946656610223947,25000,1.0,0.1,0.0,0.35969634165422637,0.0,0.6931471824645996,0.005781077779829502,2.0,1.0,1.0
1200,post,0.11075465839343276,0.11075465839343276,0.135,0.10708978389330737,0.06,0.0,0.4997367007732341,0.49601224812499467,0.27358029577616677,0.0006666666666666672,0.3333333333333333,0.09052676525872225,0.00026750769808017364,0.3333333333333333,0.08240120032275226,0.001000635329445374,0.0003146902945448618,4,0.009992884591137821,30000,1.0,0.1,0.0,0.4288242866968159,0.0,0.6931471824645996,0.006915124133229256,2.0,1.0,1.0
1400,post,0.1526879878807216,0.1526879878807216,0.1925,0.15328033631312318,0.095,0.0,0.49999517851809727,0.6423927580584957,0.8518150214529541,0.10049605758436547,0.19900497512437812,0.06901936957045127,0.0004115804943454378,0.2,0.06382769531150415,0.10520121730493484,0.00037586467107346124,4,0.00925161340918281,35000,1.0,0.1,0.0,0.4158869052531687,0.0,0.6931471824645996,0.008052032440900803,2.0,1.0,1.0
1600,post,0.17772433698114184,0.17772433698114184,0.225,0.18094812371308136,0.11666666666666667,0.3892743454578763,0.5024525938103422,0.2065527602811127,0.6133247852846334,0.502452593810343,1.0,0.11087219147429035,0.0023559326487545547,1.0,0.10092044749180179,0.4511219516353341,0.0024406824636810085,4,0.008654091913011426,40000,1.0,0.1,0.0,0.07478063697712899,0.0,0.6983610391616821,0.009109110571444035,2.0,1.0,1.0
1800,post,0.16659597588964103,0.16659597588964103,0.21,0.1688692628373758,0.1075,0.0,0.501249812094431,0.40402966927721806,0.7248932967226885,0.24977123973102733,0.4975124378109453,0.11087219147429035,8.696982750271995e-05,0.5,0.10092044749180179,0.2615540304063502,0.00015477334288665158,4,0.008159156102269388,45000,1.0,0.1,0.0,0.4831238335078717,0.0,0.6932410001754761,0.010188470594584942,2.0,1.0,1.0
2000,post,0.16794885287301436,0.16794885287301436,0.213,0.1707718846798667,0.112,0.2147358111235579,0.6908223180729676,0.25542356652385223,0.1407592353496006,0.0010617074044583607,0.42857142857142855,0.059263679173941895,0.0007893731359352035,0.42857142857142855,0.053944248262033125,0.0012918212974941173,0.0007596467768022258,4,0.0077404551204098984,50000,1.0,0.1,0.0,0.41975836979704306,0.0,0.6931471824645996,0.011215968988835812,2.0,1.0,1.0
