step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,gCal_max_all,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.00010000000000000002,0.00010000000000000002,0.2855355377049476,0.15146477284246884,9.999999999999967e-05,1.0,0.15136477284246885,4.4703288805901634e-05,1.0,0.1427230655636679,0.00010003697103100139,4.471981607266473e-05,3,0.024477468306808164,5000,1.0,0.1,0.0,0.5036143387731684,0.0,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.3047951630509186,0.2511848733131049,0.2511848733131049,0.6455270474787863,1.343201414726997,0.20094789865048457,0.2,0.06769238429491488,0.0007250094363744875,0.2,0.06382769531150415,0.18621624624536473,0.0007393784432976344,4,0.017308183826022852,10000,1.0,0.1,0.0,0.4394167414690354,0.0,0.6954757571220398,0.002653408097103238,2.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.005080415947913416,0.0010000000000000002,0.0010000000000000002,0.2872027368281696,0.15236477284246885,0.0010000000000000007,1.0,0.15136477284246885,0.000878302850416902,1.0,0.1427230655636679,0.0010013747549138122,0.000879510301576328,4,0.014132072916016227,15000,1.0,0.1,0.0,0.4499654466026432,0.0,0.6931471824645996,0.003783423686400056,2.0,1.0,1.0
800,deploy,0.2775334489488009,0.2775334489488009,0.32,0.2802689715419422,0.21666666666666667,0.016178476669043262,0.001332887882566908,0.001332887882566908,0.2074246433129016,0.11220507935685727,0.0013328878825669085,1.0,0.11087219147429035,0.002791874164649018,1.0,0.10092044749180179,0.001235740391493334,0.002731320947973282,4,0.012238734153404082,20000,1.0,0.1,0.0,0.377230820549326,0.0,0.692987859249115,0.004787689074873924,2.0,1.0,1.0
1000,deploy,0.24345404649105856,0.24345404649105856,0.276,0.24311761209845528,0.196,0.0,0.0010000000000000002,0.0010000000000000002,0.28656737896534906,0.15779695687296805,0.0010000000000000007,1.0,0.15679695687296805,0.0005606239190066333,1.0,0.1427230655636679,0.0010010289538798474,0.0005612007751632305,4,0.010946656610223947,25000,1.0,0.1,0.0,0.35121692148182393,0.0,0.6931471824645996,0.005781077779829502,2.0,1.0,1.0
1200,post,0.11532101744479722,0.11532101744479722,0.145,0.11330973914628392,0.06,0.0,0.0010000000000000002,0.0010000000000000002,0.4962961902697966,0.27358029577616677,0.0006666666666666672,0.3333333333333333,0.09052676525872225,0.0003148313888805015,0.3333333333333333,0.08240120032275226,0.0009998960820553938,0.00036722566868933697,4,0.009992884591137821,30000,1.0,0.1,0.0,0.4138945446187912,0.0,0.6931471824645996,0.006915124133229256,2.0,1.0,1.0
1400,post,0.14514503788155186,0.14514503788155186,0.19,0.1470481874991881,0.085,0.0,0.4996911200590819,0.4996911200590819,0.6503477390625073,0.853486423663019,0.10082867493960225,0.19900497512437812,0.06901936957045127,0.001207078594746583,0.2,0.06382769531150415,0.20966190016382324,0.0007154355556036769,4,0.00925161340918281,35000,1.0,0.1,0.0,0.444224240846032,0.0,0.6930975317955017,0.008052032440900803,2.0,1.0,1.0
1600,post,0.1712790335537746,0.1712790335537746,0.21833333333333332,0.174356503332723,0.11166666666666666,0.019669438313554676,0.5025337424596391,0.5025337424596391,0.20187897137680702,0.6116629477154155,0.5025337424596439,1.0,0.10912920525577162,1.9038196601713594e-05,1.0,0.10092044749180179,0.5228144289664717,0.002135139622459277,4,0.008654091913011426,40000,1.0,0.1,0.009950248756218905,0.09339535364705905,0.00660464635294096,0.698803722858429,0.009109110571444035,2.0,1.0,1.0
1800,post,0.162995754656467,0.162995754656467,0.20625,0.16517554755210703,0.10625,0.039341507958727845,0.499533279971248,0.499533279971248,0.4131431641670843,0.7248320089647947,0.2497407483091896,0.4975124378109453,0.11087219147429035,0.0023653435499692774,0.5,0.10092044749180179,0.2614407362260381,0.002365035633319937,4,0.008159156102269388,45000,1.0,0.1,0.0,0.47067641381649367,0.0,0.6932564973831177,0.010188470594584942,2.0,1.0,1.0
2000,post,0.16746963733097175,0.16746963733097175,0.213,0.17037851876329654,0.112,0.2142264165061804,0.0013189398696484167,0.6945785521273585,0.25543504654715027,0.14076546459347192,0.001064377080403201,0.42857142857142855,0.059263679173941895,0.0007918331409276463,0.42857142857142855,0.053944248262033125,0.0013523011394370673,0.0007436127675839881,4,0.0077404551204098984,50000,1.0,0.1,0.0,0.42136598572636463,0.0,0.6931471824645996,0.011215968988835812,2.0,1.0,1.0
