step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,gCal_max_all,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,pd_enabled,lambda_te,lambda_cal,rho_te,rho_cal,pd_cal_gate_open,pd_gte_soft,pd_gcal_soft,pd_v_te,pd_v_cal,pd_shift_abs_mean,pd_shift_abs_max,pd_shift_nonzero,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.019999999999999997,0.019999999999999997,0.30730774422807366,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.01093080655036894,1.0,0.1427230655636679,0.020108904231442185,0.010990327104689496,3,0.024477468306808164,5000,1.0,0.1,0.0,0.5036143387731684,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.32401140988809335,0.2611348733131049,0.2611348733131049,2.6134378983632405,1.38300141472699,0.20890789865048312,0.2,0.06769238429491488,0.1975160945248199,0.2,0.06382769531150415,0.22161459648019052,0.19673733890910233,4,0.017308183826022852,10000,1.0,0.1,0.0,0.4394167414690354,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.6954757571220398,0.002653408097103238,2.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.0,0.019999999999999997,0.019999999999999997,0.3262243804194734,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.020389124646068794,1.0,0.1427230655636679,0.020139981778530984,0.020531829942601155,4,0.014132072916016227,15000,1.0,0.1,0.0,0.4499654466026432,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.003783423686400056,2.0,1.0,1.0
800,deploy,0.2775334489488009,0.2775334489488009,0.32,0.2802689715419422,0.21666666666666667,0.0,0.020238293487620674,0.020238293487620674,0.23821212877437337,0.13111048496191083,0.02023829348762047,1.0,0.11087219147429035,0.01818561689538489,1.0,0.10092044749180179,0.02039949622654338,0.018287589557454898,4,0.012238734153404082,20000,1.0,0.1,0.0,0.377230820549326,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.692987859249115,0.004787689074873924,2.0,1.0,1.0
1000,deploy,0.24345414096436985,0.24345414096436985,0.276,0.24311761209845528,0.196,0.0,0.019999999999999997,0.019999999999999997,0.38526122862058065,0.17679695687296806,0.02000000000000001,1.0,0.15679695687296805,0.04990754874662244,1.0,0.1427230655636679,0.020178278972850766,0.05035242207302474,4,0.010946656610223947,25000,1.0,0.1,0.0,0.35121692148182393,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.005781077779829502,2.0,1.0,1.0
1200,post,0.11532101744479722,0.11532101744479722,0.145,0.11330973914628392,0.06,0.008532785464244144,0.019999999999999997,0.019999999999999997,0.5949577447060123,0.31158029577616636,0.013333333333333197,0.3333333333333333,0.09052676525872225,0.016758423794916443,0.3333333333333333,0.08240120032275226,0.020135506293609277,0.02242283816307482,4,0.009992884591137821,30000,1.0,0.1,0.0,0.4138945446187912,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.006915124133229256,2.0,1.0,1.0
1400,post,0.14514503788155186,0.14514503788155186,0.19,0.1470481874991881,0.085,0.004017540186374456,0.4996906267698242,0.4996906267698242,0.649541564102118,0.9106756169154663,0.1122096089201888,0.19900497512437812,0.06901936957045127,0.0011264610987076578,0.2,0.06382769531150415,0.22023919926820773,0.002472277399138965,4,0.00925161340918281,35000,1.0,0.1,0.0,0.444224240846032,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.6930975317955017,0.008052032440900803,2.0,1.0,1.0
1600,post,0.1712790335537746,0.1712790335537746,0.21833333333333332,0.174356503332723,0.11166666666666666,0.0,0.5025337424596391,0.5025337424596391,0.236252310341576,0.6116629477154155,0.5025337424596439,1.0,0.10912920525577162,0.017205707678986215,1.0,0.10092044749180179,0.5252486519528072,0.017653557819096003,4,0.008654091913011426,40000,1.0,0.1,0.009950248756218905,0.09339535364705905,0.00660464635294096,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.698803722858429,0.009109110571444035,2.0,1.0,1.0
1800,post,0.162995754656467,0.162995754656467,0.20625,0.16517554755210703,0.10625,0.05833484672863194,0.499533279971248,0.499533279971248,0.48758815011421075,0.7248314819997993,0.24974048613755012,0.4975124378109453,0.11087219147429035,0.020976590036750897,0.5,0.10092044749180179,0.27087600537189455,0.014787934396448682,4,0.008159156102269388,45000,1.0,0.1,0.0,0.47067641381649367,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.6932564973831177,0.010188470594584942,2.0,1.0,1.0
2000,post,0.16746963733097175,0.16746963733097175,0.213,0.17037851876329654,0.112,0.23113616060224304,0.020287312711114343,0.6945785521273585,0.784355796003274,0.16606728880574353,0.011908016028519621,0.42857142857142855,0.059263679173941895,0.11413199373866843,0.42857142857142855,0.053944248262033125,0.02067614378368676,0.10004622492104055,4,0.0077404551204098984,50000,1.0,0.1,0.0,0.42136598572636463,0.0,0.0,0.0,0.0,0.05,0.05,1.0,,,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.011215968988835812,2.0,1.0,1.0
