step,phase,mrr,ap,hits@10,ndcg@10,deploy_hit@topk,gTE_gap,gCal_max,gCal_max_all,bound_gTE_gap,bound_gCal_max,eps_r0,pmin_gb,beta_r0,eps_r_delta,pmin_g,beta_r_delta,eps_r0_kernel,eps_r_delta_kernel,audit_n_active,audit_beta_t,audit_total_samples,audit_step_scale,audit_step_eff,cov_enabled,cov_eps,cov_pool_frac,cov_min_share_present,cov_max_deficit_present,pd_enabled,lambda_te,lambda_cal,rho_te,rho_cal,pd_cal_gate_open,pd_gte_soft,pd_gcal_soft,pd_v_te,pd_v_cal,pd_shift_abs_mean,pd_shift_abs_max,pd_shift_nonzero,last_loss,mem_norm_mean,n_groups_seen,w_pos_max,w_pos_min
100,pre,0.05079534737929114,0.05079534737929114,0.07,0.04538061274140282,0.02,0.0,0.020095179457752427,0.020095179457752427,0.47848055881050744,0.23415729407709474,0.01004758972887626,0.5,0.10703105730967111,0.01869969221082507,0.5,0.10092044749180179,0.020245459620305314,0.037302292719995085,2,0.01220825158015992,20100,1.0,0.25,1.0,0.1,0.0,0.5357663545663444,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.018152317701535973,-0.2,-0.18184768229846404,0.0,0.0,0.0,0.6931471824645996,0.0008140271529555321,2.0,1.0,1.0
200,pre,0.08435825076334862,0.08435825076334862,0.095,0.07593429742129673,0.055,0.0,0.019999999999999997,0.019999999999999997,0.32332651629847814,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.018940192585571176,1.0,0.1427230655636679,0.020121659670627515,0.019055405465150235,2,0.007060155444539783,60100,1.0,0.25,1.0,0.1,0.0,0.5036143387731684,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.017370689525808884,-0.2,-0.18262931047419112,0.0,0.0,0.0,0.6931471824645996,0.0015120881143957376,2.0,1.0,1.0
300,pre,0.11858112590230428,0.11858112590230428,0.12666666666666668,0.11026549581657906,0.08333333333333333,0.0,0.02141051580063739,0.02141051580063739,0.3730048077016213,0.17277528864310623,0.021410515800637374,1.0,0.15136477284246885,0.04377933828714276,1.0,0.1427230655636679,0.021599957285151287,0.04415152966527747,2,0.005470593691748612,100100,1.0,0.25,1.0,0.1,0.0,0.5185778877503396,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.01859577112801488,-0.2,-0.18140422887198512,0.0,0.0,0.0,0.6924492120742798,0.0021100060548633337,2.0,1.0,1.0
400,pre,0.1517164854858169,0.1517164854858169,0.1625,0.1446012282503057,0.1175,0.3230830859276945,0.2611348733131049,0.2611348733131049,2.5944010687780787,1.38300141472699,0.20890789865048312,0.2,0.06769238429491488,0.19561241156630374,0.2,0.06382769531150415,0.22162392431504124,0.19465814067705148,2,0.004624155515281404,140100,1.0,0.25,1.0,0.1,0.0,0.4394167414690354,0.0,1.0,0.010813713552813672,0.0,0.2,0.2,0.0,0.3036986979673349,0.24457875428750367,0.10369869796733489,0.04457875428750366,0.0,0.0,0.0,0.6954757571220398,0.002653408097103238,2.0,1.0,1.0
500,pre,0.1630515684143281,0.1630515684143281,0.174,0.15597840722899942,0.13,0.023470929938955047,0.02,0.331658273935318,0.5116996663315684,0.23073926289029717,0.013333333333333123,0.3308457711442786,0.06300577603086967,0.027016830195798796,0.3333333333333333,0.05826644752612926,0.020940562153861756,0.03260070271121378,3,0.004078445306964272,180100,1.0,0.25,1.0,0.1,0.0,0.45120708372961527,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.022178658308427128,0.01881457321396455,-0.17782134169157288,-0.18118542678603547,0.0,0.0,0.0,0.6931471824645996,0.0032677261624485254,2.0,1.0,1.0
600,deploy,0.22493875898207333,0.22493875898207333,0.25,0.2225414237686116,0.18,0.0,0.019999999999999997,0.019999999999999997,0.332499453585111,0.17136477284246887,0.02000000000000001,1.0,0.15136477284246885,0.0235266612288876,1.0,0.1427230655636679,0.0201410047556745,0.02369252978480838,3,0.003868293896551793,200200,1.0,0.25,1.0,0.1,0.0,0.4499654466026432,0.0,1.0,0.0,0.0,0.2,0.2,1.0,0.0,0.017370689525808884,-0.2,-0.18262931047419112,0.0,0.0,0.0,0.6931471824645996,0.003783423686400056,2.0,1.0,1.0
700,deploy,0.2641394116295935,0.2641394116295935,0.305,0.26628017536950077,0.21,0.0,0.022374531342148837,0.022374531342148837,0.22222775711332535,0.11147815431284609,0.022374531342148535,1.0,0.08910362297069756,0.02871267823391041,1.0,0.08240120032275226,0.022401185982966622,0.02890768212886439,4,0.003531547057493673,240200,1.0,0.25,1.0,0.1,0.0,0.31391600645836,0.0,1.0,0.0,0.0,0.18500000000000003,0.18500000000000003,1.0,0.0,0.020543987615355516,-0.18500000000000003,-0.16445601238464452,0.0,0.0,0.0,0.6954956650733948,0.004285677336156368,2.0,1.0,1.0
800,deploy,0.2775334489488009,0.2775334489488009,0.32,0.2802689715419422,0.21666666666666667,0.0,0.02023564039039429,0.02023564039039429,0.22778914105258447,0.13110783186468444,0.020235640390394088,1.0,0.11087219147429035,0.01297412303449044,1.0,0.10092044749180179,0.02039648808647664,0.013025741112900153,4,0.003269771722116655,280200,1.0,0.25,1.0,0.1,0.0,0.377230820549326,0.0,1.0,0.0,0.0,0.17000000000000004,0.17000000000000004,1.0,0.0,0.01821599329400678,-0.17000000000000004,-0.15178400670599326,0.0,0.0,0.0,0.692987859249115,0.004787689074873924,2.0,1.0,1.0
900,deploy,0.25501378416334264,0.25501378416334264,0.2925,0.25565091117119604,0.2,0.0,0.019999999999999997,0.019999999999999997,0.31546409667182246,0.13087219147429013,0.019999999999999796,1.0,0.11087219147429035,0.056811600844109446,1.0,0.10092044749180179,0.02018954046002308,0.05735018995155652,4,0.003058727835207809,320200,1.0,0.25,1.0,0.1,0.0,0.4500504964556035,0.0,1.0,0.0,0.0,0.15499999999999997,0.15499999999999997,1.0,0.0,0.018003871330559695,-0.15499999999999997,-0.13699612866944028,0.0,0.0,0.0,0.6931471824645996,0.00528307631611824,2.0,1.0,1.0
1000,deploy,0.24908954626022742,0.24908954626022742,0.284,0.24935374548695713,0.2,0.0,0.019999999999999997,0.019999999999999997,0.32311280370803475,0.17679695687296806,0.02000000000000001,1.0,0.15679695687296805,0.018833336290349483,1.0,0.1427230655636679,0.020171559132193807,0.01899488783186376,4,0.002883896333252887,360200,1.0,0.25,1.0,0.1,0.0,0.4135192515285727,0.0,1.0,0.0,0.0,0.14,0.14,1.0,0.0,0.017289118787158313,-0.14,-0.1227108812128417,0.0,0.0,0.0,0.6931471824645996,0.005781077779829502,2.0,1.0,1.0
1100,post,0.1324279912663315,0.1324279912663315,0.16,0.12835626997505747,0.07,0.009652448604647569,0.019999999999999997,0.019999999999999997,0.6013566155267195,0.31158029577616636,0.013333333333333197,0.3333333333333333,0.09052676525872225,0.017824902265034324,0.3333333333333333,0.08240120032275226,0.020135926035573095,0.02365145074575144,4,0.002806650507667521,380300,1.0,0.25,1.0,0.1,0.0,0.3235086545750462,0.0,1.0,0.0,0.0,0.125,0.125,1.0,0.008917625554895342,0.018339760780887476,-0.11608237444510466,-0.10666023921911252,0.0,0.0,0.0,0.6931471824645996,0.006345415022224188,2.0,1.0,1.0
1200,post,0.12550190233955985,0.12550190233955985,0.15,0.12200044161056935,0.065,0.008982154499448686,0.019999999999999997,0.019999999999999997,0.6314434924543814,0.3152251131600049,0.013333333333333197,0.3333333333333333,0.09174170438666843,0.02283938175297797,0.3333333333333333,0.08240120032275226,0.02014860257304194,0.031463243056577536,5,0.0026697574315224116,420300,1.0,0.25,1.0,0.1,0.0,0.42321935485372586,0.0,1.0,0.0,0.0,0.11000000000000001,0.11000000000000001,1.0,0.008298359699499937,0.018319351472641448,-0.10170164030050008,-0.09168064852735856,0.0,0.0,0.0,0.6931471824645996,0.006915124133229256,2.0,1.0,1.0
1300,post,0.1357976027501022,0.1357976027501022,0.17,0.13502209928092138,0.07666666666666666,0.003771182058545713,0.4959825878510623,0.4959825878510623,0.5286108389964016,0.7632934567631542,0.16532752928368719,0.3333333333333333,0.08910362297069756,0.005700606176648005,0.3333333333333333,0.08240120032275226,0.18499916451726495,0.007432260650099927,5,0.0025511207291926304,460300,1.0,0.25,1.0,0.1,0.0,0.5128008941305505,0.0,1.0,0.0,0.04560929167816226,0.095,0.095,1.0,0.0034840889472602353,0.4554044054120337,-0.09151591105273976,0.36040440541203367,0.0,0.0,0.0,0.6931471824645996,0.007552172522991896,2.0,1.0,1.0
1400,post,0.1496104803289332,0.1496104803289332,0.1925,0.15089290574258565,0.0875,0.014076299075780143,0.49652685386266354,0.49652685386266354,0.7592624815581522,0.9073992929546256,0.1115576041518623,0.19900497512437812,0.06901936957045127,0.012098552844311085,0.2,0.06382769531150415,0.2079127790062694,0.012376985866188309,5,0.0024470128369122983,500300,1.4560929167816226,0.36402322919540564,1.0,0.1,0.0,0.13566030762401465,0.0,1.0,0.0,0.10372098441002976,0.08,0.08,1.0,0.013231747150236015,0.4644694642550544,-0.06676825284976398,0.3844694642550544,0.0,0.0,0.0,0.6931008100509644,0.008052032440900803,2.0,1.0,1.0
