step,mrr,ap,hits@10,model,last_loss
200,0.05974866379344343,0.05974866379344343,0.045,graphmixer,0.7046987414360046
400,0.19658537167896772,0.19658537167896772,0.205,graphmixer,0.25404122471809387
600,0.22266427923455975,0.22266427923455975,0.235,graphmixer,0.7692192196846008
800,0.2957314575298706,0.2957314575298706,0.31,graphmixer,0.23593902587890625
1000,0.22675680067422288,0.22675680067422288,0.29,graphmixer,0.13197652995586395
1200,0.17668786679263992,0.17668786679263992,0.185,graphmixer,0.7196620106697083
1400,0.19057033784308847,0.19057033784308847,0.22,graphmixer,0.11259215325117111
1600,0.27967609697487883,0.27967609697487883,0.31,graphmixer,0.2010631263256073
1800,0.22938150492125392,0.22938150492125392,0.255,graphmixer,0.28629070520401
2000,0.23307683878422375,0.23307683878422375,0.28,graphmixer,0.7274383306503296
2200,0.23920801586206517,0.23920801586206517,0.295,graphmixer,0.15047752857208252
2400,0.1805552514219171,0.1805552514219171,0.205,graphmixer,0.276943564414978
2600,0.2928326166160727,0.2928326166160727,0.375,graphmixer,0.7326796650886536
2800,0.2621210703565644,0.2621210703565644,0.33,graphmixer,0.26798710227012634
3000,0.23721674680279492,0.23721674680279492,0.28,graphmixer,0.8686415553092957
3200,0.23610482520958762,0.23610482520958762,0.295,graphmixer,0.7168641686439514
3400,0.2170777636680649,0.2170777636680649,0.28,graphmixer,0.7606234550476074
3600,0.1954926581744126,0.1954926581744126,0.275,graphmixer,0.45517924427986145
3800,0.23652296390581143,0.23652296390581143,0.305,graphmixer,0.39369964599609375
4000,0.29479957648731914,0.29479957648731914,0.355,graphmixer,1.1001702547073364
4200,0.25677378128022627,0.25677378128022627,0.32,graphmixer,0.12156423926353455
4400,0.27696480499880954,0.27696480499880954,0.35,graphmixer,0.17236056923866272
4600,0.24447569146465326,0.24447569146465326,0.33,graphmixer,0.8339619040489197
4800,0.23249072524571296,0.23249072524571296,0.315,graphmixer,0.2560204863548279
5000,0.22935351099171772,0.22935351099171772,0.295,graphmixer,0.3325954079627991
5200,0.26059473485273055,0.26059473485273055,0.365,graphmixer,0.36754679679870605
5400,0.18719931926356537,0.18719931926356537,0.25,graphmixer,0.583350658416748
5600,0.21967291342057876,0.21967291342057876,0.33,graphmixer,0.405354380607605
5800,0.2402480079255249,0.2402480079255249,0.295,graphmixer,0.23593538999557495
6000,0.26864555662428735,0.26864555662428735,0.35,graphmixer,0.3078237771987915
6200,0.2233279495307185,0.2233279495307185,0.29,graphmixer,0.8207881450653076
6400,0.25297183700697684,0.25297183700697684,0.35,graphmixer,0.8026008009910583
6600,0.2425077345809573,0.2425077345809573,0.325,graphmixer,0.7833644151687622
6800,0.21422343799544324,0.21422343799544324,0.31,graphmixer,0.7935581207275391
7000,0.3261316999927598,0.3261316999927598,0.41,graphmixer,0.9215970039367676
7200,0.2508029855529996,0.2508029855529996,0.345,graphmixer,0.34901705384254456
7400,0.2839843011304071,0.2839843011304071,0.375,graphmixer,0.9576169848442078
7600,0.31632511588333456,0.31632511588333456,0.435,graphmixer,0.18270474672317505
7800,0.29398304017872123,0.29398304017872123,0.385,graphmixer,0.8219195604324341
8000,0.29239676197279507,0.29239676197279507,0.42,graphmixer,0.8717446327209473
8200,0.2651538579883636,0.2651538579883636,0.37,graphmixer,0.27213144302368164
8400,0.273617430763733,0.273617430763733,0.38,graphmixer,0.8452571034431458
8600,0.3146219661147877,0.3146219661147877,0.43,graphmixer,0.3754757344722748
8800,0.3024121797529424,0.3024121797529424,0.43,graphmixer,0.8992366790771484
9000,0.22073390480719393,0.22073390480719393,0.335,graphmixer,0.3472229540348053
9200,0.24236574104204445,0.24236574104204445,0.39,graphmixer,0.8328195810317993
9400,0.2677469160987832,0.2677469160987832,0.37,graphmixer,0.8067194819450378
9600,0.21018518404928002,0.21018518404928002,0.315,graphmixer,0.27667471766471863
9800,0.2863575730489705,0.2863575730489705,0.415,graphmixer,0.7324442267417908
10000,0.27012388963395906,0.27012388963395906,0.43,graphmixer,0.2804526686668396
10200,0.30839780135722783,0.30839780135722783,0.4,graphmixer,0.4667939841747284
10400,0.26376043273552974,0.26376043273552974,0.41,graphmixer,1.0500489473342896
10600,0.26884739712762096,0.26884739712762096,0.38,graphmixer,0.8676204085350037
10800,0.24898080127036504,0.24898080127036504,0.4,graphmixer,0.5399240255355835
11000,0.31555644847851494,0.31555644847851494,0.445,graphmixer,0.3797706365585327
11200,0.2937247316244577,0.2937247316244577,0.49,graphmixer,0.35312575101852417
11400,0.22494005505415038,0.22494005505415038,0.315,graphmixer,0.5787826776504517
11600,0.2786817965678874,0.2786817965678874,0.405,graphmixer,0.8145742416381836
11800,0.26246289204520784,0.26246289204520784,0.4,graphmixer,0.8378340601921082
12000,0.2638784941464216,0.2638784941464216,0.415,graphmixer,0.2680816054344177
12200,0.25703849446163535,0.25703849446163535,0.435,graphmixer,0.8676979541778564
12400,0.33018202481869396,0.33018202481869396,0.5,graphmixer,0.4365115165710449
12600,0.27106375364193225,0.27106375364193225,0.405,graphmixer,0.4195219576358795
12800,0.30585485562722775,0.30585485562722775,0.415,graphmixer,0.8397611379623413
13000,0.2726040581209908,0.2726040581209908,0.41,graphmixer,0.9012522101402283
13200,0.23616136893079184,0.23616136893079184,0.365,graphmixer,0.7778874039649963
13400,0.2454855165649333,0.2454855165649333,0.39,graphmixer,0.38147225975990295
13600,0.2704179802345278,0.2704179802345278,0.345,graphmixer,0.7372630834579468
13800,0.19134998295743738,0.19134998295743738,0.31,graphmixer,0.7827954292297363
14000,0.21727135675832732,0.21727135675832732,0.375,graphmixer,0.8110816478729248
14200,0.21035038486212113,0.21035038486212113,0.3,graphmixer,0.3096793591976166
14400,0.253814889497988,0.253814889497988,0.43,graphmixer,0.5032801628112793
