step,mrr,ap,hits@10,model,last_loss
500,0.9984,0.9984,1.0,graphmixer,0.04128538817167282
1000,0.9932156249999999,0.9932156249999999,0.998,graphmixer,0.04155682399868965
1500,0.99505,0.99505,1.0,graphmixer,0.04087696596980095
2000,0.9909726665400204,0.9909726665400204,0.994,graphmixer,0.04296721890568733
2500,0.9906251488095237,0.9906251488095237,0.996,graphmixer,0.03995933383703232
3000,0.9984,0.9984,1.0,graphmixer,0.04399517551064491
3500,0.9741704433497537,0.9741704433497537,0.994,graphmixer,0.10417934507131577
4000,0.9814380952380953,0.9814380952380953,0.992,graphmixer,0.07518099248409271
4500,1.0,1.0,1.0,graphmixer,0.1322762817144394
5000,1.0,1.0,1.0,graphmixer,0.05633947253227234
5500,1.0,1.0,1.0,graphmixer,0.05008723586797714
6000,0.9984,0.9984,1.0,graphmixer,0.059966977685689926
6500,0.9984,0.9984,1.0,graphmixer,0.0576777458190918
7000,0.9952,0.9952,1.0,graphmixer,0.04680909588932991
7500,0.9984,0.9984,1.0,graphmixer,0.05143921077251434
8000,0.9952,0.9952,1.0,graphmixer,0.04398264363408089
8500,0.9888768536428112,0.9888768536428112,0.992,graphmixer,0.05472402274608612
9000,1.0,1.0,1.0,graphmixer,0.04315496236085892
9500,0.8506790446404193,0.8506790446404193,0.946,graphmixer,0.05727773904800415
10000,0.7431749320125006,0.7431749320125006,0.82,graphmixer,0.05053829029202461
10500,0.47051144782612475,0.47051144782612475,0.468,graphmixer,0.05110058933496475
11000,0.4675271142661801,0.4675271142661801,0.466,graphmixer,0.045738961547613144
11500,0.7161952596777974,0.7161952596777974,0.714,graphmixer,0.046098269522190094
12000,0.8577576995581917,0.8577576995581917,0.866,graphmixer,0.04402969032526016
12500,0.9316050660105074,0.9316050660105074,0.946,graphmixer,0.04254501312971115
13000,0.9914648148148147,0.9914648148148147,0.998,graphmixer,0.04040507227182388
13500,0.37445823892419783,0.37445823892419783,0.412,graphmixer,0.04759685695171356
14000,0.09345151515151574,0.09345151515151574,0.058,graphmixer,0.0403580404818058
14500,0.11318441558441657,0.11318441558441657,0.21,graphmixer,0.040015462785959244
15000,0.21710129870129846,0.21710129870129846,0.662,graphmixer,0.04129140451550484
15500,0.3735829486035583,0.3735829486035583,0.974,graphmixer,0.04108261689543724
16000,0.6320053265883053,0.6320053265883053,0.68,graphmixer,0.06198900565505028
16500,0.7109467240797028,0.7109467240797028,0.996,graphmixer,0.07119648158550262
17000,0.9930364066193854,0.9930364066193854,0.998,graphmixer,0.13711820542812347
17500,0.9967999999999999,0.9967999999999999,1.0,graphmixer,0.06719133257865906
18000,0.9967999999999999,0.9967999999999999,1.0,graphmixer,0.07844147831201553
18500,0.9984,0.9984,1.0,graphmixer,0.048940159380435944
19000,0.9952,0.9952,1.0,graphmixer,0.06836377084255219
19500,0.9984,0.9984,1.0,graphmixer,0.0871507078409195
20000,0.9984,0.9984,1.0,graphmixer,0.04426352307200432
20500,0.985810660460993,0.985810660460993,0.992,graphmixer,0.046770695596933365
21000,0.9944283687943262,0.9944283687943262,0.996,graphmixer,0.054169654846191406
21500,1.0,1.0,1.0,graphmixer,0.048308227211236954
22000,0.9648078559738134,0.9648078559738134,0.99,graphmixer,0.10109728574752808
22500,0.9880153846153846,0.9880153846153846,0.998,graphmixer,0.05024123936891556
23000,0.9924450622294372,0.9924450622294372,0.994,graphmixer,0.06902267783880234
23500,0.9626808510638297,0.9626808510638297,0.998,graphmixer,0.05870725214481354
24000,1.0,1.0,1.0,graphmixer,0.05290240794420242
24500,0.9506889338731443,0.9506889338731443,0.996,graphmixer,0.053402695804834366
25000,0.9984,0.9984,1.0,graphmixer,0.04991118982434273
25500,0.9967999999999999,0.9967999999999999,1.0,graphmixer,0.04404907673597336
26000,0.99485,0.99485,1.0,graphmixer,0.058205824345350266
26500,1.0,1.0,1.0,graphmixer,0.04507694020867348
27000,0.9904,0.9904,1.0,graphmixer,0.04502663016319275
27500,0.9967999999999999,0.9967999999999999,1.0,graphmixer,0.040768593549728394
28000,0.9896283687943263,0.9896283687943263,0.996,graphmixer,0.08904001861810684
28500,0.9937999999999999,0.9937999999999999,1.0,graphmixer,0.10836564004421234
29000,0.9985,0.9985,1.0,graphmixer,0.051350925117731094
29500,0.9960666666666667,0.9960666666666667,1.0,graphmixer,0.12064311653375626
30000,0.9945294515727356,0.9945294515727356,0.996,graphmixer,0.053134605288505554
30500,1.0,1.0,1.0,graphmixer,0.05896198749542236
31000,0.9984,0.9984,1.0,graphmixer,0.05004598945379257
31500,0.9984,0.9984,1.0,graphmixer,0.044845882803201675
32000,0.9966499999999999,0.9966499999999999,1.0,graphmixer,0.04184979945421219
32500,0.9984,0.9984,1.0,graphmixer,0.041467517614364624
33000,0.9966499999999999,0.9966499999999999,1.0,graphmixer,0.041130248457193375
33500,0.9949538461538462,0.9949538461538462,0.998,graphmixer,0.04740805923938751
34000,0.9952,0.9952,1.0,graphmixer,0.04955243691802025
34500,0.9967999999999999,0.9967999999999999,1.0,graphmixer,0.045010343194007874
35000,1.0,1.0,1.0,graphmixer,0.0450693741440773
35500,0.9964500000000001,0.9964500000000001,1.0,graphmixer,0.044693272560834885
36000,0.9928205128205129,0.9928205128205129,0.998,graphmixer,0.05470101907849312
36500,1.0,1.0,1.0,graphmixer,0.04551821947097778
37000,0.9966499999999999,0.9966499999999999,1.0,graphmixer,0.04314355179667473
37500,0.9965333333333333,0.9965333333333333,0.998,graphmixer,0.04211948439478874
38000,0.9842997973657548,0.9842997973657548,0.996,graphmixer,0.0734405443072319
38500,0.9984,0.9984,1.0,graphmixer,0.061548732221126556
39000,1.0,1.0,1.0,graphmixer,0.04524265602231026
39500,1.0,1.0,1.0,graphmixer,0.04421711340546608
40000,0.9952,0.9952,1.0,graphmixer,0.042146191000938416
40500,0.99603125,0.99603125,0.996,graphmixer,0.04394853487610817
41000,1.0,1.0,1.0,graphmixer,0.04221106320619583
41500,0.9948143884892086,0.9948143884892086,0.998,graphmixer,0.06662029027938843
42000,1.0,1.0,1.0,graphmixer,0.040839120745658875
42500,0.9960298093971631,0.9960298093971631,0.996,graphmixer,0.04238271713256836
43000,0.9952,0.9952,1.0,graphmixer,0.03895605355501175
43500,0.9984,0.9984,1.0,graphmixer,0.04038539156317711
44000,1.0,1.0,1.0,graphmixer,0.040099743753671646
44500,0.9952,0.9952,1.0,graphmixer,0.039563149213790894
45000,0.9967999999999999,0.9967999999999999,1.0,graphmixer,0.04010133445262909
45500,1.0,1.0,1.0,graphmixer,0.0384644940495491
46000,0.9964141843971631,0.9964141843971631,0.998,graphmixer,0.2167048156261444
46500,0.9984,0.9984,1.0,graphmixer,0.11078634858131409
47000,0.9984,0.9984,1.0,graphmixer,0.03842107579112053
47500,0.9984,0.9984,1.0,graphmixer,0.07501720637083054
48000,0.9948135135135135,0.9948135135135135,0.998,graphmixer,0.06729722023010254
48500,0.9967999999999999,0.9967999999999999,1.0,graphmixer,0.03694780543446541
